project,class,commits,bcommits,Algo,Conc,Mem,Prog,Fail,Perf,Sec,tins,devs,max_commit_age
alibaba/arthas,Procedural_Static_Disallow_Managed,807,140,3,1,4,132,48,2,90,44969,42,466
alibaba/arthas,Scripting_Dynamic_Allow_Managed,15,1,0,0,0,1,0,0,1,18908,2,453
alibaba/arthas,Scripting_Dynamic_Disallow_Managed,18,2,0,0,0,2,1,0,1,723,1,368
alibaba/druid,Procedural_Static_Disallow_Managed,36473,11605,1,12,15,11577,7566,33,4006,806785,169,3120
alibaba/druid,Scripting_Dynamic_Allow_Managed,166,19,0,0,0,19,8,0,11,15361,21,2660
alibaba/fastjson,Procedural_Static_Disallow_Managed,13986,2279,0,5,43,2231,590,123,1566,334729,134,3048
alibaba/tengine,Procedural_Static_Allow_Unmanaged,3784,415,2,8,91,314,214,12,189,383621,86,2929
alibaba/tengine,Scripting_Dynamic_Allow_Managed,121,3,0,0,0,3,2,0,1,19350,19,2653
allinurl/goaccess,Procedural_Static_Allow_Unmanaged,3423,820,4,15,130,671,383,29,408,80077,65,3429
allinurl/goaccess,Scripting_Dynamic_Allow_Managed,142,60,0,0,2,58,34,0,26,6331,9,1378
andlabs/libui,Functional_Static_Disallow_Managed,124,38,0,0,0,38,30,0,8,1935,1,1318
andlabs/libui,Procedural_Static_Allow_Unmanaged,7935,1536,13,11,123,1389,836,41,659,144331,12,1623
andlabs/libui,Procedural_Static_Disallow_Managed,40,4,0,0,0,4,1,0,3,1562,1,1432
angular-ui/angular-google-maps,Scripting_Dynamic_Allow_Managed,6230,1552,5,46,44,1457,887,39,626,1023473,114,1603
angular-ui/ui-router,Scripting_Dynamic_Allow_Managed,1860,575,13,1,14,547,370,1,204,393002,139,2170
angular/angular,Scripting_Dynamic_Allow_Managed,13149,2615,16,19,47,2533,1912,7,696,400105,185,1904
angular/angular-cli,Scripting_Dynamic_Allow_Managed,1677,387,6,5,3,373,207,4,176,178017,96,1665
angular/angular.js,Procedural_Static_Disallow_Managed,45,4,0,0,0,4,0,1,3,2,9,2912
angular/angular.js,Scripting_Dynamic_Allow_Managed,26163,9022,61,286,261,8414,6217,155,2650,646606,1182,3592
angular/angular.js,Scripting_Dynamic_Disallow_Managed,10,1,0,0,0,1,0,0,1,71,3,1334
angular/components,Scripting_Dynamic_Allow_Managed,455,122,1,0,1,120,93,1,28,7549,36,1435
ansible/ansible,Procedural_Static_Disallow_Managed,33,17,0,0,0,17,10,0,7,4522,5,750
