project,language,commits,bcommits,tins,devs,max_commit_age
bergie/hallo,CoffeeScript,559,156,8053,27,2040
bergie/hallo,JavaScript,470,94,93712,19,1356
beyondgrep/ack1,PHP,24,2,393,4,967
beyondgrep/ack1,Perl,567,70,5134,23,2088
beyondgrep/ack2,Perl,898,108,13148,38,2966
bilibili/ijkplayer,C,3383,365,69036,30,1702
bilibili/ijkplayer,C++,113,3,8817,3,1554
bilibili/ijkplayer,Java,876,61,17653,21,1702
bilibili/ijkplayer,Objective-C,833,127,18121,30,1595
bitcoin/bitcoin,C,10081,1596,184143,333,3750
bitcoin/bitcoin,C++,21901,3816,396512,578,3754
bitcoin/bitcoin,Objective-C,30,9,394,16,2878
bitcoin/bitcoin,Python,4996,532,72697,210,3097
bitcoin/bitcoin,TypeScript,2806,249,782851,15,3020
blueimp/jQuery-File-Upload,Go,28,2,1033,3,2517
blueimp/jQuery-File-Upload,JavaScript,827,207,51344,62,3279
blueimp/jQuery-File-Upload,PHP,194,63,3537,30,3147
blueimp/jQuery-File-Upload,Python,24,0,356,2,1918
brendangregg/FlameGraph,Perl,217,45,4322,50,2869
briannesbitt/Carbon,PHP,12973,3404,399243,240,2650
briansmith/ring,C,15897,2720,427492,111,1872
briansmith/ring,C++,3791,501,127866,61,1823
briansmith/ring,Go,2101,363,80038,32,1812
briansmith/ring,Perl,1174,247,64958,15,1849
briansmith/ring,Python,268,23,12632,25,1609
bumptech/glide,Java,15532,2999,287178,141,2537
caddyserver/caddy,Go,8718,2819,934174,264,1786
capistrano/capistrano,JavaScript,106,3,33696,4,1565
capistrano/capistrano,Ruby,1419,494,14470,127,2430
carrierwaveuploader/carrierwave,Ruby,2776,555,37531,286,4047
ccgus/fmdb,C,258,33,4791,34,3124
ccgus/fmdb,Objective-C,452,111,11469,65,3124
ccgus/fmdb,Swift,10,0,236,4,1750
cdr/code-server,JavaScript,269,74,16851,9,295
cdr/code-server,TypeScript,1429,417,37476,18,335
cefsharp/CefSharp,C,3884,552,66692,88,3291
cefsharp/CefSharp,C#,6354,1053,81170,128,3290
cefsharp/CefSharp,C++,2023,331,28242,77,3290
certbot/certbot,C,12,0,161,2,1293
certbot/certbot,Python,14675,2786,186246,290,2752
chaplinjs/chaplin,CoffeeScript,2082,281,31874,61,2606
chaplinjs/chaplin,JavaScript,811,33,58976,8,1455
chaplinjs/chaplin,Ruby,13,0,253,2,146
