project,language,commits,bcommits,Algo,Conc,Mem,Prog,Fail,Perf,Sec,tins,devs,max_commit_age
algorithm-archivists/algorithm-archive,Go,20,6,3,0,0,3,6,0,0,801,5,381
algorithm-archivists/algorithm-archive,Java,54,22,10,0,0,12,20,0,2,1232,14,360
algorithm-archivists/algorithm-archive,JavaScript,60,25,11,0,0,14,21,0,4,906,10,630
algorithm-archivists/algorithm-archive,Objective-C,17,10,4,0,0,6,9,0,1,189,6,202
algorithm-archivists/algorithm-archive,PHP,10,0,0,0,0,0,0,0,0,544,2,86
algorithm-archivists/algorithm-archive,Python,78,32,13,0,1,18,28,0,4,1401,22,665
algorithm-archivists/algorithm-archive,Ruby,7,2,0,0,0,2,2,0,0,253,5,150
algorithm-archivists/algorithm-archive,Scala,7,2,1,0,0,1,2,0,0,254,3,81
algorithm-archivists/algorithm-archive,Swift,25,8,4,0,0,4,8,0,0,438,2,91
alibaba/arthas,Java,807,140,3,1,4,132,48,2,90,44969,42,466
alibaba/arthas,JavaScript,15,1,0,0,0,1,0,0,1,18908,2,453
alibaba/arthas,Python,18,2,0,0,0,2,1,0,1,723,1,368
alibaba/druid,Java,36473,11605,1,12,15,11577,7566,33,4006,806785,169,3120
alibaba/druid,JavaScript,166,19,0,0,0,19,8,0,11,15361,21,2660
alibaba/fastjson,Java,13986,2279,0,5,43,2231,590,123,1566,334729,134,3048
alibaba/tengine,C,3759,402,2,8,91,301,209,12,181,379516,86,2929
alibaba/tengine,C++,25,13,0,0,0,13,5,0,8,4105,6,2832
alibaba/tengine,Perl,121,3,0,0,0,3,2,0,1,19350,19,2653
allinurl/goaccess,C,3423,820,4,15,130,671,383,29,408,80077,65,3429
allinurl/goaccess,JavaScript,142,60,0,0,2,58,34,0,26,6331,9,1378
andlabs/libui,C,4944,877,3,3,74,797,464,22,391,84325,10,1623
andlabs/libui,C++,1240,249,2,0,13,234,149,8,92,27420,6,1237
andlabs/libui,Go,40,4,0,0,0,4,1,0,3,1562,1,1432
