project,class,commits,bcommits,tins,devs,max_commit_age
bang590/JSPatch,Procedural_Static_Allow_Unmanaged,760,169,40447,50,1038
bang590/JSPatch,Scripting_Dynamic_Allow_Managed,183,38,6733,29,1038
barryvdh/laravel-debugbar,Scripting_Dynamic_Allow_Managed,864,227,11568,94,2283
barryvdh/laravel-ide-helper,Scripting_Dynamic_Allow_Managed,488,163,19303,114,2396
basecamp/pow,Scripting_Dynamic_Allow_Managed,787,82,13189,16,2655
basecamp/trix,Scripting_Dynamic_Allow_Managed,4906,836,75790,20,2112
basecamp/trix,Scripting_Dynamic_Disallow_Managed,46,1,751,2,597
bcit-ci/CodeIgniter,Scripting_Dynamic_Allow_Managed,15972,3693,287899,526,4811
bcit-ci/CodeIgniter,Scripting_Dynamic_Disallow_Managed,75,4,513,15,2905
bergie/hallo,Scripting_Dynamic_Allow_Managed,1029,250,101765,28,2040
beyondgrep/ack1,Scripting_Dynamic_Allow_Managed,591,72,5527,24,2088
beyondgrep/ack2,Scripting_Dynamic_Allow_Managed,898,108,13148,38,2966
bilibili/ijkplayer,Procedural_Static_Allow_Unmanaged,4329,495,95974,45,1702
bilibili/ijkplayer,Procedural_Static_Disallow_Managed,876,61,17653,21,1702
bitcoin/bitcoin,Procedural_Static_Allow_Unmanaged,32012,5421,581049,618,3754
bitcoin/bitcoin,Scripting_Dynamic_Disallow_Managed,4996,532,72697,210,3097
blueimp/jQuery-File-Upload,Procedural_Static_Disallow_Managed,28,2,1033,3,2517
blueimp/jQuery-File-Upload,Scripting_Dynamic_Allow_Managed,1021,270,54881,90,3279
blueimp/jQuery-File-Upload,Scripting_Dynamic_Disallow_Managed,24,0,356,2,1918
brendangregg/FlameGraph,Scripting_Dynamic_Allow_Managed,217,45,4322,50,2869
briannesbitt/Carbon,Scripting_Dynamic_Allow_Managed,12973,3404,399243,240,2650
briansmith/ring,Procedural_Static_Allow_Unmanaged,19688,3221,555358,118,1872
